binder_id,af2_binder_aligned_rmsd,af2_pae_binder,af2_pae_interaction,af2_pae_target,af2_plddt_binder,af2_plddt_target,af2_plddt_total,af2_target_aligned_rmsd,af2_time
pmhc_binder_multi_target_chain,0.577,2.821,6.437,3.383,92.918,97.269,96.084,0.771,109.798
pmhc_binder_fused_target_chain,0.7,2.96,7.194,3.461,92.033,96.881,95.562,1.075,31.944
pdl1_binder,0.585,2.321,3.849,2.511,95.127,96.205,95.72,1.521,83.119
